antecedents_str,consequents_str,support,confidence,lift
"sepal length (cm)_Low, sepal width (cm)_Medium","petal length (cm)_Low, petal width (cm)_Low, target_setosa",0.24,0.9729729729729729,2.918918918918919
"sepal length (cm)_Low, sepal width (cm)_Medium","petal length (cm)_Low, petal width (cm)_Low",0.24,0.9729729729729729,2.918918918918919
"petal length (cm)_Low, target_setosa","sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,2.918918918918919
petal length (cm)_Low,"sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,2.918918918918919
"petal width (cm)_Low, target_setosa","sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,2.918918918918919
petal width (cm)_Low,"sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,2.918918918918919
target_setosa,"sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,2.918918918918919
"petal length (cm)_Low, petal width (cm)_Low, target_setosa","sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,2.918918918918919
"petal length (cm)_Low, petal width (cm)_Low","sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,2.918918918918919
"petal width (cm)_High, sepal length (cm)_Medium",target_virginica,0.19333333333333333,0.9666666666666666,2.9
"petal width (cm)_High, target_virginica",petal length (cm)_High,0.26666666666666666,0.888888888888889,2.8985507246376816
"petal length (cm)_High, sepal length (cm)_Medium, target_virginica",petal width (cm)_High,0.16,0.888888888888889,2.8985507246376816
petal length (cm)_High,"petal width (cm)_High, target_virginica",0.26666666666666666,0.8695652173913044,2.8985507246376816
"petal width (cm)_High, sepal width (cm)_Medium",target_virginica,0.18666666666666668,0.9655172413793104,2.8965517241379315
"petal length (cm)_High, sepal width (cm)_Medium",target_virginica,0.18,0.9642857142857142,2.892857142857143
"petal length (cm)_Medium, petal width (cm)_Medium, sepal width (cm)_Low",target_versicolor,0.17333333333333334,0.962962962962963,2.8888888888888893
petal length (cm)_High,target_virginica,0.29333333333333333,0.9565217391304348,2.8695652173913047
target_virginica,petal length (cm)_High,0.29333333333333333,0.88,2.8695652173913047
"sepal length (cm)_Medium, target_versicolor","petal length (cm)_Medium, petal width (cm)_Medium",0.22,0.9166666666666667,2.8645833333333335
"petal length (cm)_Medium, petal width (cm)_Medium","sepal length (cm)_Medium, target_versicolor",0.22,0.6875,2.8645833333333335
petal length (cm)_High,petal width (cm)_High,0.26666666666666666,0.8695652173913044,2.8355387523629494
petal width (cm)_High,petal length (cm)_High,0.26666666666666666,0.8695652173913044,2.8355387523629494
"sepal length (cm)_Medium, target_virginica","petal length (cm)_High, petal width (cm)_High",0.16,0.75,2.8125
"petal length (cm)_High, petal width (cm)_High","sepal length (cm)_Medium, target_virginica",0.16,0.6,2.8124999999999996
"petal length (cm)_High, sepal length (cm)_Medium",target_virginica,0.18,0.9310344827586207,2.793103448275862
"sepal width (cm)_Low, target_versicolor",petal width (cm)_Medium,0.18,1.0,2.7777777777777777
"petal length (cm)_Medium, sepal width (cm)_Low, target_versicolor",petal width (cm)_Medium,0.17333333333333334,1.0,2.7777777777777777
"petal width (cm)_Medium, sepal length (cm)_Medium",target_versicolor,0.23333333333333334,0.9210526315789473,2.763157894736842
target_versicolor,"petal width (cm)_Medium, sepal length (cm)_Medium",0.23333333333333334,0.7000000000000001,2.763157894736842
"petal length (cm)_High, sepal length (cm)_Medium","petal width (cm)_High, target_virginica",0.16,0.8275862068965517,2.7586206896551726
"sepal length (cm)_Medium, target_virginica",petal length (cm)_High,0.18,0.8437499999999999,2.751358695652174
"petal width (cm)_High, sepal length (cm)_Medium","petal length (cm)_High, target_virginica",0.16,0.7999999999999999,2.727272727272727
target_versicolor,petal width (cm)_Medium,0.32666666666666666,0.98,2.7222222222222223
petal width (cm)_Medium,target_versicolor,0.32666666666666666,0.9074074074074074,2.7222222222222223
